sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_vmag,sy_kmag,sy_gaiamag
1.0,1.0,6.39330593168374,0.9321640810304452,2.2857943325964074,3.489905207756833,0.13999999999999999,867.8399999999999,5166.0,1.1400000000000001,0.32,0.0516,4.435999999999999,269.388125,-30.5039389,16.911520000000017,14.218,10.366859999999999
1.0,1.0,5.103552397081773,1.3137236682850553,2.2857943325964074,4.63186167753694,0.22400000000000003,870.24,5166.0,1.1400000000000001,0.25,0.0516,4.512,269.0184167,-27.9871111,15.407940000000014,12.8082,10.863846
1.0,1.0,4.765541865470166,1.7047480922384253,2.2857943325964074,6.148912129033088,0.22399999999999998,832.8399999999999,5158.4,1.1400000000000001,0.72,0.0516,4.436,272.3995833,-29.0839389,14.07874000000001,11.481399999999999,10.366859999999999
1.0,1.0,4.878429891175727,1.534714366238164,2.4224333881709645,6.729824070489475,0.4812912,667.24,5432.8,1.3299999999999998,0.64,0.0416,4.378,266.212542,-23.2013806,13.890740000000013,11.35,9.770026000000001
1.0,1.0,6.283048968766137,1.8562979903656263,2.2857943325964074,7.170888478512505,0.14,832.8399999999999,5240.2,1.1400000000000001,0.13,0.0196,4.436,269.895416,-31.8186111,15.582320000000015,12.0304,10.366859999999999
1.0,1.0,6.393305931683741,1.3762440252663892,2.4224333881709645,2.641266316577491,0.35816,667.24,5166.0,1.33,0.63,0.068,4.354,266.3240417,-25.0794889,16.911520000000017,13.945600000000002,9.770026
1.0,1.0,6.39330593168374,1.4816045409242156,2.2857943325964074,1.247032293786383,0.22399999999999998,916.04,5166.0,1.1400000000000001,0.61,0.0516,4.512,270.166375,-27.3415833,17.13790000000002,14.218,10.863846
1.0,1.0,5.429973009590574,0.9321640810304452,2.2857943325964074,2.2407096892759584,0.184,812.8399999999999,5448.2,1.1400000000000001,0.37,0.0516,4.497999999999999,269.79275,-27.8350833,17.13790000000002,14.218,10.863846
1.0,1.0,4.016125714745444,1.4929040961781488,2.2857943325964074,6.767343125265392,0.22399999999999998,667.24,5308.4,1.1400000000000001,0.44,-0.008400000000000001,4.436,268.325708,-30.4711667,16.911520000000017,12.5358,10.366859999999999
1.0,1.0,5.103552397081774,0.6678293725756554,2.2857943325964074,5.303304908059076,0.22399999999999998,870.24,5166.0,1.1400000000000001,0.15,0.0516,4.436,268.742218,-29.7504635,15.40794000000001,12.5358,10.366859999999999
1.0,1.0,4.824479499682816,0.7030975114131134,2.4224333881709645,6.226536669287466,0.3581599999999999,667.24,5300.0,1.33,0.21,0.0416,4.378,266.883057,-24.5226669,15.407940000000014,12.535799999999998,9.770026
1.0,1.0,6.39330593168374,1.1969481893889715,2.2857943325964074,3.6990950963035925,0.22399999999999998,870.24,5166.0,1.1400000000000001,0.47,0.0516,4.436,269.4067917,-28.7150611,16.911520000000017,14.218,10.366859999999999
1.0,1.0,8.097426298597213,1.2809338454620642,2.0214968054746114,1.8718021769015913,0.22399999999999998,188.6,5158.4,1.152,0.22,-0.08138000000000001,4.476,268.579958,-30.3773056,17.13790000000002,14.218,9.082898
1.0,1.0,5.2319728446932725,1.0647107369924282,2.4224333881709645,5.451101713367332,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.48,0.0416,4.377999999999999,265.691875,-27.3758389,16.911520000000017,13.945600000000002,9.579884000000002
1.0,1.0,4.878429891175727,0.5670169034157332,2.4224333881709645,4.718498871295094,0.3581599999999999,667.24,5254.8,1.33,0.11,0.052000000000000005,4.358,268.435375,-22.1525389,13.890740000000012,11.35,10.311208
1.0,1.0,7.923799322373489,1.3190856114264407,2.2857943325964074,3.8501476017100584,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.43,-0.12378,4.496,268.4325,-32.5893111,16.911520000000017,13.945600000000002,10.963476
1.0,1.0,4.801808129558699,0.7701082216960736,2.242668917854691,7.281713084153641,0.36556,1030.44,5568.4,1.33,0.74,0.052000000000000005,4.358,268.8529167,-21.8955389,13.890740000000012,11.35,10.311207999999999
