sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing
1.0,1.0,7,5.60311463485544,0.6296747576043717,2.0155573942525296,0.453,986.512,101,4415.0,18.11,1.23,-0.25,1.8,130.0528099,64.3280504,4.310266097445318,4.5801,1.734,4.23773,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,8,2.3235292253880524,0.08828556486736039,1.4011829736136412,0.0,1230.0,190,6302.0,1.51,1.19,-0.06,4.23,234.8578846,-20.1988975,5.612795934436755,11.114,9.42,10.8204,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,2,9.85332303799997,3.332204510175204,2.4661625299068852,0.52,1048.8,88,5377.8,0.9720000000000001,1.36,0.046400000000000004,4.428,283.2745823,-50.1808952,3.8725501004771865,8.43,6.366,8.09894,1,0,0,0,1,1,0,1,1,0,0,0
2.0,1.0,8,1.9092676523011127,0.060906934903521386,2.4357164055972285,0.096,1100.0,45,5900.0,0.9,1.0,0.15,4.53,176.2990518,-42.0639575,5.711955649745353,12.179,10.412,11.8127,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,5,0.5771982588079475,0.015578029963318415,2.135515157670981,0.06,1831.312,190,4500.0,0.8460000000000001,1.4,-0.0726,4.228,259.7919708,-14.6336,7.0909098220799835,11.164244,9.489655999999995,8.696366000000001,1,0,0,0,0,1,0,1,1,0,0,0
1.0,1.0,3,7.937731775260109,1.4350845252893227,2.67803876627248,0.154,1314.9119999999998,190,5411.6,1.466,0.56,-0.12840000000000001,4.264,267.008125,-35.0054111,8.019941687677365,17.02,15.01963999999999,10.620735999999999,1,0,0,1,1,1,0,1,1,0,0,0
1.0,1.0,8,1.01068686861382,0.026758769300691144,2.59420938467845,0.126,1505.0,89,5311.0,0.92,0.87,0.0,4.45,311.0920041,-19.4375266,7.039265881184347,14.909,12.724,14.6473,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,3.614048143490933,0.13251837970014443,1.821127886291213,0.079,234.0,174,3347.0,0.3,0.29,-0.18,4.76,218.5684823,-12.5170062,1.9802315173575662,11.311,5.939,9.87882,1,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,7,2.03282152104461,2.1168208066031826,2.477810180127105,0.072,796.912,127,4440.0,0.68,0.74,0.12,4.62,106.559098,-47.5878156,3.879342776599514,10.54,7.715,10.1026,1,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,8,0.6552074865511666,0.01965555765844128,2.897402539480782,0.145,2508.0,35,6110.0,1.44,1.22,0.06,4.22,249.3148604,7.1833758,5.931308409285782,12.402,10.767,12.1931,0,0,0,1,0,0,0,0,0,0,0,0
